index,title,url,text_length,tokens_processed,reward,processing_time_ms,timestamp,num_tokens
107,Camilla Grudova,https://en.wikipedia.org/?curid=72031421,901,207,1.0,101.30524635314941,2025-11-15T13:35:02.871702,207
108,Muhammad Yusuf Khan Hazara,https://en.wikipedia.org/?curid=71818680,3465,486,1.0,101.72247886657715,2025-11-15T13:35:02.973814,486
109,Saifuzzaman,https://en.wikipedia.org/?curid=76019480,391,105,1.0,100.79717636108398,2025-11-15T13:35:03.074903,105
110,Euglossa mixta,https://en.wikipedia.org/?curid=66664678,3620,467,1.0,101.91893577575684,2025-11-15T13:35:03.177141,467
111,"Elm, Cambridgeshire",https://en.wikipedia.org/?curid=16796456,5300,468,1.0,101.97973251342773,2025-11-15T13:35:03.279503,468
112,Konstantinos Spetsiotis,https://en.wikipedia.org/?curid=7793215,368,85,1.0,101.01556777954102,2025-11-15T13:35:03.380872,85
113,National records in the 400 metres hurdles,https://en.wikipedia.org/?curid=77489885,340,69,1.0,101.03392601013184,2025-11-15T13:35:03.482252,69
114,USS Bergen,https://en.wikipedia.org/?curid=13508352,5810,460,1.0,101.61042213439941,2025-11-15T13:35:03.584227,460
115,Melanie Bolaños,https://en.wikipedia.org/?curid=69410879,261,69,1.0,100.61335563659668,2025-11-15T13:35:03.685119,69
116,Jonathan C. Jones,https://en.wikipedia.org/?curid=16640272,1504,383,1.0,101.88889503479004,2025-11-15T13:35:03.787322,383
117,List of UK garage songs,https://en.wikipedia.org/?curid=59328716,436,95,1.0,101.09210014343262,2025-11-15T13:35:03.888880,95
118,Robert McNeill (footballer),https://en.wikipedia.org/?curid=18650625,501,104,1.0,101.08613967895508,2025-11-15T13:35:03.990331,104
119,Barbudan independence movement,https://en.wikipedia.org/?curid=78704204,3737,386,1.0,101.78637504577637,2025-11-15T13:35:04.092486,386
120,Standing Advisory Committee before the European Patent Office,https://en.wikipedia.org/?curid=15918539,760,191,1.0,100.88086128234863,2025-11-15T13:35:04.193708,191
121,Greathed Manor,https://en.wikipedia.org/?curid=54276578,2757,451,1.0,101.87959671020508,2025-11-15T13:35:04.295857,451
122,"Good Views, Bad News",https://en.wikipedia.org/?curid=23378662,1904,432,1.0,101.7765998840332,2025-11-15T13:35:04.397912,432
123,Women's literary salons and societies in the Arab world,https://en.wikipedia.org/?curid=29145699,31234,400,1.0,101.7904281616211,2025-11-15T13:35:04.500091,400
124,Grandcour Castle,https://en.wikipedia.org/?curid=32834166,217,43,1.0,100.85940361022949,2025-11-15T13:35:04.601286,43
125,Digital Dog,https://en.wikipedia.org/?curid=14381053,8239,636,1.0,102.0207405090332,2025-11-15T13:35:04.703737,636
126,Costa Rican Athletics Federation,https://en.wikipedia.org/?curid=37221651,1056,238,1.0,101.14407539367676,2025-11-15T13:35:04.805288,238
127,KXDD (FM),https://en.wikipedia.org/?curid=17948426,1216,307,1.0,101.36914253234863,2025-11-15T13:35:04.906928,307
128,Hingston,https://en.wikipedia.org/?curid=30012813,464,110,1.0,100.96573829650879,2025-11-15T13:35:05.008196,110
129,Golisoda,https://en.wikipedia.org/?curid=51921018,5274,503,1.0,102.08511352539062,2025-11-15T13:35:05.110653,503
130,Summits On The Air,https://en.wikipedia.org/?curid=4982734,2338,420,1.0,102.07796096801758,2025-11-15T13:35:05.212997,420
131,Juancho Polo Valencia,https://en.wikipedia.org/?curid=79814190,5444,441,1.0,102.00858116149902,2025-11-15T13:35:05.315347,441
132,Deltobathra,https://en.wikipedia.org/?curid=25900285,367,104,1.0,100.75187683105469,2025-11-15T13:35:05.416441,104
133,Wirelesspt,https://en.wikipedia.org/?curid=54346164,4154,374,1.0,101.91774368286133,2025-11-15T13:35:05.518709,374
134,Cimarron Hotel,https://en.wikipedia.org/?curid=4593907,1860,419,1.0,102.09274291992188,2025-11-15T13:35:05.621110,419
135,Hovnatanian,https://en.wikipedia.org/?curid=33807898,1395,411,1.0,102.67972946166992,2025-11-15T13:35:05.724231,411
136,Turgyn Syzdyqov,https://en.wikipedia.org/?curid=62425117,2770,527,1.0,101.90320014953613,2025-11-15T13:35:05.826400,527
137,Die (manufacturing),https://en.wikipedia.org/?curid=648007,13150,435,1.0,102.10037231445312,2025-11-15T13:35:05.928840,435
138,The School Teacher,https://en.wikipedia.org/?curid=34853823,1353,361,1.0,101.29785537719727,2025-11-15T13:35:06.030480,361
139,Erkki Kataja,https://en.wikipedia.org/?curid=8103097,280,66,1.0,100.78310966491699,2025-11-15T13:35:06.131530,66
140,Toother,https://en.wikipedia.org/?curid=28989829,777,197,1.0,101.00388526916504,2025-11-15T13:35:06.232807,197
141,David Chadwick Smith,https://en.wikipedia.org/?curid=2800194,374,79,1.0,101.01652145385742,2025-11-15T13:35:06.334217,79
142,The Tax Inspector,https://en.wikipedia.org/?curid=19707878,4624,482,1.0,101.93252563476562,2025-11-15T13:35:06.436469,482
143,First Goh Chok Tong Cabinet,https://en.wikipedia.org/?curid=39582014,563,101,1.0,101.05085372924805,2025-11-15T13:35:06.537871,101
144,"Aleksandar Radosavljević (footballer, born 1979)",https://en.wikipedia.org/?curid=12497639,957,262,1.0,101.24897956848145,2025-11-15T13:35:06.639536,262
145,Stuffed ribs,https://en.wikipedia.org/?curid=42009822,774,223,1.0,101.03464126586914,2025-11-15T13:35:06.740923,223
146,Izani Husin,https://en.wikipedia.org/?curid=64400829,838,212,1.0,101.3495922088623,2025-11-15T13:35:06.842601,212
147,Chickenpox (disambiguation),https://en.wikipedia.org/?curid=16992336,416,113,1.0,100.86894035339355,2025-11-15T13:35:06.943873,113
148,Vuma FM,https://en.wikipedia.org/?curid=39158346,633,141,1.0,101.34601593017578,2025-11-15T13:35:07.045631,141
149,Universal Bank,https://en.wikipedia.org/?curid=8056547,431,86,1.0,101.79972648620605,2025-11-15T13:35:07.148390,86
150,Asperula albiflora,https://en.wikipedia.org/?curid=68025468,504,133,1.0,101.18293762207031,2025-11-15T13:35:07.250148,133
151,"Hillside School, Addis Ababa",https://en.wikipedia.org/?curid=29337720,501,104,1.0,100.94404220581055,2025-11-15T13:35:07.354969,104
152,Millersville Marauders,https://en.wikipedia.org/?curid=27226222,4738,505,1.0,101.96447372436523,2025-11-15T13:35:07.457282,505
153,2019 Men's EuroHockey Junior Championship,https://en.wikipedia.org/?curid=61261041,1403,274,1.0,101.72533988952637,2025-11-15T13:35:07.559364,274
154,Ozegna Castle,https://en.wikipedia.org/?curid=78895456,1263,301,1.0,101.58896446228027,2025-11-15T13:35:07.661271,301
155,List of literary works relating to Tamil sexual minorities,https://en.wikipedia.org/?curid=56001595,2753,489,1.0,101.83215141296387,2025-11-15T13:35:07.763436,489
156,Robert Staddon (English sportsman),https://en.wikipedia.org/?curid=20619891,531,130,1.0,100.72183609008789,2025-11-15T13:35:07.864513,130
157,Rodislav Chizhikov,https://en.wikipedia.org/?curid=38388211,939,222,1.0,101.45115852355957,2025-11-15T13:35:07.966374,222
